"","U1","U2","V1","V2","type"
"BMS8",4.22971286599322,3.4189897164858,-5.99133762445454,-16.3382098993786,"BF"
"BMS10",4.14786240895258,4.91784770048658,-5.67809781937644,-14.3021279067633,"BF"
"BMS16",3.95488244678245,4.66880953368846,-6.68057567605526,-15.7764900648046,"BF"
"BF3",3.48596864782851,3.18300912460355,-7.1149132653581,-18.7089015300586,"BF"
"BF4",3.66051874277101,3.94513261387713,-6.97565460319787,-17.0219740379329,"BF"
"BF6",2.55602939111366,2.91108819923008,-9.34686711540273,-19.0317154866197,"BF"
"FF2",4.20508421355964,2.96695917150325,-6.17427394552432,-19.2727601647151,"FF"
"FF3",3.63016393039518,2.80125404972211,-7.31092971753071,-20.2694045758754,"FF"
"FF7",4.7492269395368,3.12206476884515,-5.53781995094823,-19.4461420584135,"FF"
"FF13",2.69433448203999,2.22202733101175,-9.16577685985441,-20.5657375531061,"FF"
"FF15",4.18527521135291,3.17087528159366,-6.37866755028753,-18.5951397568927,"FF"
"FF5",3.84039163996875,3.11416986907979,-7.46115639115546,-19.156928401444,"FF"
